Wavelength,Flux
3535.0,3.2400855332070932e-09
3536.0,3.213213473074461e-09
3537.0,3.2094125135273543e-09
3538.0,3.2065488042576362e-09
3539.0,3.2134099825498197e-09
3540.0,3.219466471193755e-09
3541.0,3.2204190425488832e-09
3542.0,3.2242510883406794e-09
3543.0,3.248838087444028e-09
3544.0,3.2558085116818347e-09
3545.0,3.2612110789642657e-09
3546.0,3.2577163189273506e-09
3547.0,3.2552427420284857e-09
3548.0,3.255650193878523e-09
3549.0,3.259759129292661e-09
3550.0,3.2654816628507888e-09
3551.0,3.276721560752094e-09
3552.0,3.2863154419970897e-09
3553.0,3.2659650539557106e-09
3554.0,3.2572964325794374e-09
3555.0,3.2246714187778025e-09
3556.0,3.221243272122365e-09
3557.0,3.217932365018328e-09
3558.0,3.242397017544363e-09
3559.0,3.2512366132664283e-09
3560.0,3.250342883731605e-09
3561.0,3.2486773271500624e-09
3562.0,3.2431148877520855e-09
3563.0,3.22814464048804e-09
3564.0,3.215698818337387e-09
3565.0,3.1901958852387224e-09
3566.0,3.1938898192862553e-09
3567.0,3.209579935159468e-09
3568.0,3.2107474456921636e-09
3569.0,3.206191312443707e-09
3570.0,3.189790875879339e-09
3571.0,3.1730607030766578e-09
3572.0,3.0463522815438182e-09
3573.0,3.045138585733298e-09
3574.0,3.042584850732055e-09
3575.0,3.0630238345707994e-09
3576.0,3.0722533406191133e-09
3577.0,3.091846556557698e-09
3578.0,3.0879743206924104e-09
3579.0,3.0692912655894133e-09
3580.0,3.058759912022424e-09
3581.0,3.0502285142119945e-09
3582.0,3.0364908365498877e-09
3583.0,3.030018014271718e-09
3584.0,3.0170093090475802e-09
3585.0,3.0319486921115413e-09
3586.0,3.051114916274855e-09
3587.0,3.0477460555289326e-09
3588.0,3.0464200051483203e-09
3589.0,3.0642683945814042e-09
3590.0,3.068198806133182e-09
3591.0,3.0755378244151643e-09
3592.0,3.0670075368277594e-09
3593.0,3.062020637045748e-09
3594.0,3.046509489124105e-09
3595.0,3.047721852666996e-09
3596.0,3.049074992489409e-09
3597.0,3.0729252475936164e-09
3598.0,3.091858102877154e-09
3599.0,3.097527123685495e-09
3600.0,3.099565715203312e-09
3601.0,3.0797220329503716e-09
3602.0,3.0639473180826826e-09
3603.0,3.041140228532413e-09
3604.0,3.070329324117438e-09
3605.0,3.083390875957548e-09
3606.0,3.0990330301960967e-09
3607.0,3.0979501186578773e-09
3608.0,3.084986488488539e-09
3609.0,3.08944181348636e-09
3610.0,3.0925229044242997e-09
3611.0,3.117931690610476e-09
3612.0,3.1159042013229055e-09
3613.0,3.1041038628387696e-09
3614.0,3.1118432275434316e-09
3615.0,3.123389546999533e-09
3616.0,3.1411540035719554e-09
3617.0,3.1385891663404664e-09
3618.0,3.113511892749443e-09
3619.0,3.1127149746623672e-09
3620.0,3.1218752027939445e-09
3621.0,3.173824758562205e-09
3622.0,3.195234743458286e-09
3623.0,3.200655962487531e-09
3624.0,3.19797832659674e-09
3625.0,3.1968450109332025e-09
3626.0,3.213643573474201e-09
3627.0,3.2271911809544918e-09
3628.0,3.2395095495019177e-09
3629.0,3.2323601573125416e-09
3630.0,3.19894088995909e-09
3631.0,3.200542497694414e-09
3632.0,3.2067786204237336e-09
3633.0,3.255668623580732e-09
3634.0,3.2740190558655513e-09
3635.0,3.2866394050756753e-09
3636.0,3.235842038762371e-09
3637.0,3.157208716686455e-09
3638.0,3.155721461922667e-09
3639.0,3.1590252635993465e-09
3640.0,3.1592828353410596e-09
3641.0,3.1491751428802672e-09
3642.0,3.1277656020733957e-09
3643.0,3.145595339759666e-09
3644.0,3.157936356856794e-09
3645.0,3.184367880493255e-09
3646.0,3.1840290404261395e-09
3647.0,3.160086858855493e-09
3648.0,3.1648863529909477e-09
