Wavelength,Flux
3732.0,2.7311885392178326e-11
3733.0,2.715118234408731e-11
3734.0,2.698205200935e-11
3735.0,2.6922162416065376e-11
3736.0,2.6968609637134655e-11
3737.0,2.6938751576666142e-11
3738.0,2.7052294432339252e-11
3739.0,2.7278530129182244e-11
3740.0,2.7708405014870152e-11
3741.0,2.8122454018286724e-11
3742.0,2.8284154532376427e-11
3743.0,2.8286229261653695e-11
3744.0,2.7901979338107452e-11
3745.0,2.7800452911952434e-11
3746.0,2.764240572550314e-11
3747.0,2.7238497915527127e-11
3748.0,2.7030893148816126e-11
3749.0,2.6504657843484658e-11
3750.0,2.6434054598012402e-11
3751.0,2.6341531386697703e-11
3752.0,2.612824540060288e-11
3753.0,2.6015497048281766e-11
3754.0,2.6110084580532877e-11
3755.0,2.6267758801434837e-11
3756.0,2.670371215818257e-11
3757.0,2.6725403140526183e-11
3758.0,2.6790427515299697e-11
3759.0,2.6980672904186598e-11
3760.0,2.698220639973936e-11
3761.0,2.6442766379308758e-11
3762.0,2.6515642112534543e-11
3763.0,2.6566327263055634e-11
3764.0,2.6739195926883674e-11
3765.0,2.675923024830773e-11
3766.0,2.6694965682416694e-11
3767.0,2.6462779884051102e-11
3768.0,2.582825446573178e-11
3769.0,2.5419846783059086e-11
3770.0,2.5125181449259237e-11
3771.0,2.4989489644244856e-11
3772.0,2.488839689895883e-11
3773.0,2.4750021476727113e-11
3774.0,2.4923937913534644e-11
3775.0,2.5199424144584093e-11
3776.0,2.614259850264311e-11
3777.0,2.6417703094527845e-11
3778.0,2.677490867908361e-11
3779.0,2.6833466004738682e-11
3780.0,2.6945747716444757e-11
3781.0,2.7007696426495365e-11
3782.0,2.7069024105541573e-11
3783.0,2.708537560902613e-11
3784.0,2.7067134991676234e-11
3785.0,2.6970760694244866e-11
3786.0,2.6953926937633987e-11
3787.0,2.6927857513237008e-11
3788.0,2.6956869028649244e-11
3789.0,2.6964401197981935e-11
3790.0,2.6886525991698385e-11
3791.0,2.6800379623881376e-11
3792.0,2.6632656149883083e-11
3793.0,2.6108804354607607e-11
3794.0,2.5814492904396857e-11
3795.0,2.55917353281232e-11
3796.0,2.5476518464295772e-11
3797.0,2.523503281337547e-11
3798.0,2.4760964112413575e-11
3799.0,2.44562200352183e-11
3800.0,2.4572857637572554e-11
3801.0,2.4741564699781726e-11
3802.0,2.503790057228894e-11
3803.0,2.566758784683376e-11
3804.0,2.612079823272051e-11
3805.0,2.6830943716804612e-11
3806.0,2.6960267351938683e-11
3807.0,2.70670725416311e-11
3808.0,2.697808122731349e-11
3809.0,2.6839655498100967e-11
3810.0,2.6754222101632585e-11
3811.0,2.670298357432266e-11
3812.0,2.674149963965977e-11
3813.0,2.6684505299856554e-11
3814.0,2.6651661780285885e-11
3815.0,2.6338013367488422e-11
3816.0,2.614516068921713e-11
3817.0,2.465565425435745e-11
3818.0,2.4483132535224605e-11
3819.0,2.467213412737923e-11
3820.0,2.4790504718485984e-11
3821.0,2.510868769844965e-11
3822.0,2.4780665366930243e-11
3823.0,2.4894320979629292e-11
3824.0,2.553194287935323e-11
3825.0,2.586838902807198e-11
3826.0,2.616447683512213e-11
3827.0,2.625756903573695e-11
3828.0,2.6239184436338547e-11
3829.0,2.6143028714065153e-11
3830.0,2.595533683813489e-11
3831.0,2.5428246314129765e-11
3832.0,2.4751332927674952e-11
3833.0,2.4197446130136413e-11
3834.0,2.3446026370388395e-11
3835.0,2.323128321657375e-11
3836.0,2.3239422539123034e-11
3837.0,2.324827656774442e-11
3838.0,2.342829402701696e-11
3839.0,2.416592793930139e-11
3840.0,2.4553980376706974e-11
3841.0,2.553622938106237e-11
3842.0,2.581573843585261e-11
3843.0,2.6222510274287458e-11
3844.0,2.6360488444843178e-11
3845.0,2.6465697688937695e-11
3846.0,2.6546704071095384e-11
3847.0,2.660790685005132e-11
3848.0,2.67385297930689e-11
3849.0,2.663922381296313e-11
3850.0,2.6559967766792703e-11
3851.0,2.6556685669976154e-11
3852.0,2.6538847508472685e-11
3853.0,2.6583958992465462e-11
3854.0,2.6597207075651497e-11
