Wavelength,Flux
3784.0,5.8097388011546514e-11
3785.0,5.81198318638787e-11
3786.0,5.722091550586228e-11
3787.0,5.6745445148331797e-11
3788.0,5.690114351919462e-11
3789.0,5.640150499419683e-11
3790.0,5.4878476762887374e-11
3791.0,5.473016484458526e-11
3792.0,5.460776969501424e-11
3793.0,5.507474337695939e-11
3794.0,5.4648941621993075e-11
3795.0,5.160040103535657e-11
3796.0,4.929413127685578e-11
3797.0,4.6375573520274216e-11
3798.0,4.697129143971246e-11
3799.0,4.73839925629882e-11
3800.0,5.264084307343708e-11
3801.0,5.368579886200209e-11
3802.0,5.576049344480083e-11
3803.0,5.667322167113298e-11
3804.0,5.7202825809454794e-11
3805.0,5.6792626157431414e-11
3806.0,5.658915350204019e-11
3807.0,5.600616151402171e-11
3808.0,5.574660177920521e-11
3809.0,5.551327453279242e-11
3810.0,5.562836996597653e-11
3811.0,5.566796676403918e-11
3812.0,5.577608166995596e-11
3813.0,5.56019431885435e-11
3814.0,5.536186786780917e-11
3815.0,5.5903302820237144e-11
3816.0,5.6065162928886636e-11
3817.0,5.2981112552696885e-11
3818.0,5.13015706304909e-11
3819.0,4.7631659033653406e-11
3820.0,4.950749185606007e-11
3821.0,5.0697668285693e-11
3822.0,5.423739582455234e-11
3823.0,5.4641305369251825e-11
3824.0,5.484144388612222e-11
3825.0,5.5227874357077766e-11
3826.0,5.5605908766409584e-11
3827.0,5.529892169175987e-11
3828.0,5.51091221268063e-11
3829.0,5.409166864422943e-11
3830.0,5.354961266079705e-11
3831.0,5.273421976870196e-11
3832.0,5.0470502777066883e-11
3833.0,4.94876535583888e-11
3834.0,4.2869190836070104e-11
3835.0,4.342653667221974e-11
3836.0,4.484998136766727e-11
3837.0,4.784310794758717e-11
3838.0,4.9916033112440417e-11
3839.0,5.223777313489997e-11
3840.0,5.296716190650308e-11
3841.0,5.487971188600227e-11
3842.0,5.559162158386144e-11
3843.0,5.634945982047057e-11
3844.0,5.581757278605437e-11
3845.0,5.564980767869265e-11
3846.0,5.542434566851995e-11
3847.0,5.5313344182739144e-11
3848.0,5.5130820048043816e-11
3849.0,5.5737379989206914e-11
3850.0,5.602805719373549e-11
3851.0,5.630692093139267e-11
3852.0,5.6114318053301915e-11
3853.0,5.557873258843493e-11
3854.0,5.5126573444974625e-11
3855.0,5.478523190660667e-11
3856.0,5.469570629745846e-11
3857.0,5.4607492139258085e-11
3858.0,5.423160878703648e-11
3859.0,5.4699609425279405e-11
3860.0,5.5241564794750175e-11
3861.0,5.5560358397377385e-11
3862.0,5.549211784527941e-11
3863.0,5.281287213110275e-11
3864.0,5.290186691486731e-11
3865.0,5.30622108751988e-11
3866.0,5.222864501996938e-11
3867.0,5.17893228302313e-11
3868.0,5.2071045392176885e-11
3869.0,5.2172505898839816e-11
3870.0,5.2434077912888455e-11
3871.0,5.255564386463796e-11
3872.0,5.265562985634631e-11
3873.0,5.3756155776740755e-11
3874.0,5.3961928675461124e-11
3875.0,5.4000342392113154e-11
3876.0,5.344635845005996e-11
3877.0,5.274807327038111e-11
3878.0,5.334516509081233e-11
3879.0,5.3567785623931385e-11
3880.0,5.389832330449096e-11
3881.0,5.340126604802542e-11
3882.0,5.24187082628913e-11
3883.0,5.2470965072881626e-11
3884.0,5.2501152730810574e-11
3885.0,5.052889356926826e-11
3886.0,4.9041146144013226e-11
3887.0,4.453674581905709e-11
3888.0,4.284567492462976e-11
3889.0,4.1331466027472175e-11
3890.0,4.4804403243059454e-11
3891.0,4.62817735524812e-11
3892.0,5.155419494085045e-11
3893.0,5.234298758316491e-11
3894.0,5.3426069124284936e-11
3895.0,5.3731647603472155e-11
3896.0,5.384612894454577e-11
3897.0,5.3570217706244705e-11
3898.0,5.391529930842687e-11
3899.0,5.4665903748141176e-11
3900.0,5.443998030152386e-11
3901.0,5.429721949834487e-11
3902.0,5.463944574568558e-11
3903.0,5.4751873174163634e-11
3904.0,5.5051168484920865e-11
3905.0,5.4481436723152754e-11
3906.0,5.392598173559193e-11
3907.0,5.4640281882401e-11
3908.0,5.481809450813557e-11
3909.0,5.485287918327586e-11
3910.0,5.4501361756997824e-11
3911.0,5.39744082761473e-11
3912.0,5.431835189972922e-11
3913.0,5.446711484613509e-11
3914.0,5.380762849171994e-11
3915.0,5.391258273146349e-11
3916.0,5.4170914282059e-11
3917.0,5.414362014288798e-11
