Wavelength,Flux
3524.0,5.6769273309997814e-11
3525.0,5.6841503726090536e-11
3526.0,5.7197982461509866e-11
3527.0,5.757627014046918e-11
3528.0,5.838246552869464e-11
3529.0,5.866870184112472e-11
3530.0,5.877321546110537e-11
3531.0,5.84884224386073e-11
3532.0,5.84640877376863e-11
3533.0,5.90034340830492e-11
3534.0,5.883466630551837e-11
3535.0,5.866641894503033e-11
3536.0,5.76826850173795e-11
3537.0,5.7451952917286775e-11
3538.0,5.830376459403652e-11
3539.0,5.860276847124979e-11
3540.0,5.9179786071617e-11
3541.0,5.914031764309158e-11
3542.0,5.91110563274988e-11
3543.0,5.863466656652605e-11
3544.0,5.846982620294483e-11
3545.0,5.812171577357361e-11
3546.0,5.851947398882729e-11
3547.0,5.874593866916911e-11
3548.0,5.891489379683534e-11
3549.0,5.900471777842142e-11
3550.0,5.898669053205907e-11
3551.0,5.933593200113663e-11
3552.0,5.975707428884647e-11
3553.0,5.974153810539562e-11
3554.0,5.977893874353768e-11
3555.0,5.927269092209642e-11
3556.0,5.871859942718771e-11
3557.0,5.777226266823199e-11
3558.0,5.7400525305117966e-11
3559.0,5.722851706413401e-11
3560.0,5.846087502980879e-11
3561.0,5.858832169414185e-11
3562.0,5.868103919448586e-11
3563.0,5.878065395537035e-11
3564.0,5.873887487517493e-11
3565.0,5.765398922163989e-11
3566.0,5.7311707463147954e-11
3567.0,5.71888959799427e-11
3568.0,5.7588218915771705e-11
3569.0,5.8092877730508974e-11
3570.0,5.7718996249178645e-11
3571.0,5.727709279090831e-11
3572.0,5.4588972231428556e-11
3573.0,5.426081112203107e-11
3574.0,5.3738291594385146e-11
3575.0,5.4339154703653136e-11
3576.0,5.459438109922665e-11
3577.0,5.458148863435319e-11
3578.0,5.4534644161607915e-11
3579.0,5.441669337358235e-11
3580.0,5.450714532506673e-11
3581.0,5.453845361436116e-11
3582.0,5.4567624724333186e-11
3583.0,5.484021223245428e-11
3584.0,5.5912482976872013e-11
3585.0,5.520851831253282e-11
3586.0,5.4310365232845825e-11
3587.0,5.343122819190249e-11
3588.0,5.32467230029976e-11
3589.0,5.404533418018609e-11
3590.0,5.410546663475735e-11
3591.0,5.420219828522477e-11
3592.0,5.402790020925252e-11
3593.0,5.3941490163467165e-11
3594.0,5.43194655922008e-11
3595.0,5.4665567211786836e-11
3596.0,5.563642602179897e-11
3597.0,5.56270723928165e-11
3598.0,5.565482796843213e-11
3599.0,5.53307642758849e-11
3600.0,5.5283333466604745e-11
3601.0,5.545743031465378e-11
3602.0,5.5588686431740086e-11
3603.0,5.5835534112924634e-11
3604.0,5.547908660252787e-11
3605.0,5.5397738479845415e-11
3606.0,5.563818503140361e-11
3607.0,5.596355670545172e-11
3608.0,5.671399808115929e-11
3609.0,5.654675686028732e-11
3610.0,5.637826663851264e-11
3611.0,5.5893057543388025e-11
3612.0,5.602119809711148e-11
3613.0,5.640635875048261e-11
3614.0,5.6104034612536324e-11
3615.0,5.5857676123372e-11
3616.0,5.638538594365805e-11
3617.0,5.6806268022846496e-11
3618.0,5.7663519792416906e-11
3619.0,5.717538248406484e-11
3620.0,5.6633968348318575e-11
3621.0,5.6648314511464903e-11
3622.0,5.6934099795791226e-11
3623.0,5.826206878056794e-11
3624.0,5.830696342412622e-11
3625.0,5.813867443027476e-11
3626.0,5.8026458638060774e-11
3627.0,5.8052528062457753e-11
3628.0,5.936347940993514e-11
3629.0,5.948763703855775e-11
3630.0,5.871805819346321e-11
3631.0,5.810528100336221e-11
3632.0,5.748250833659263e-11
3633.0,5.7992985413868325e-11
3634.0,5.849323803097661e-11
3635.0,5.964972960015302e-11
3636.0,5.916885731371835e-11
3637.0,5.811670242272804e-11
3638.0,5.8127919144723705e-11
3639.0,5.819610418567045e-11
3640.0,5.832709315534146e-11
3641.0,5.825268045711596e-11
3642.0,5.7834109029597514e-11
3643.0,5.719239318247027e-11
3644.0,5.677735018250196e-11
3645.0,5.731084357085692e-11
3646.0,5.738913164132775e-11
3647.0,5.7261004965392104e-11
3648.0,5.721190882157501e-11
3649.0,5.7077502446656325e-11
3650.0,5.775786099393443e-11
3651.0,5.783130918590729e-11
3652.0,5.765040181349157e-11
3653.0,5.7532256736436693e-11
3654.0,5.7314340773384487e-11
3655.0,5.793480972737797e-11
3656.0,5.819633316916928e-11
3657.0,5.855683299360592e-11
3658.0,5.837825362009497e-11
3659.0,5.763913998868553e-11
3660.0,5.7384968304985406e-11
3661.0,5.724543755691869e-11
3662.0,5.718848311575542e-11
3663.0,5.720944551423912e-11
3664.0,5.746670153627953e-11
3665.0,5.737483405043875e-11
3666.0,5.732596342067353e-11
3667.0,5.701457014839484e-11
3668.0,5.694389404453659e-11
3669.0,5.743430731008914e-11
3670.0,5.7386442819939987e-11
3671.0,5.7262784791678456e-11
3672.0,5.7142394982445666e-11
3673.0,5.712952333425392e-11
3674.0,5.7138679204760123e-11
3675.0,5.701235664123949e-11
3676.0,5.6268645992618715e-11
3677.0,5.579166295621718e-11
3678.0,5.543678016639575e-11
3679.0,5.506470973637434e-11
3680.0,5.505952638262812e-11
3681.0,5.5480654792550155e-11
3682.0,5.5598595172234866e-11
3683.0,5.5777608226614817e-11
3684.0,5.497115609931491e-11
3685.0,5.4519229408800385e-11
3686.0,5.352755044762958e-11
3687.0,5.329487198779681e-11
3688.0,5.346878148571044e-11
3689.0,5.491311572125568e-11
3690.0,5.585461260171343e-11
3691.0,5.524467688866608e-11
3692.0,5.483490397861779e-11
